科目,,,,,,109年如期舉行,109年五天前取消,備註(9/21)
款,項,項目,名稱,備註(原價),(早鳥價),,,
,,,,,,,,
1,,,車,,,"768,000",0,
,1,,RedBull,頭車,,"180,000",,
,2,,彩虹酷兒,車1,,"70,000",,
,3,,獨角落,車2,,"70,000",,
,4,,瑪莉珍比薩,車3,,"70,000",,
,5,,SONY,車4,,"70,000",,
,6,,GOLIN,車5,,"80,000",,
,7,,GAP,車6,,"70,000",,
,8,,Klook,車7,,"80,000",,
,9,,,,,,,
,10,,社運車,6輛,,"78,000",,
2,,,級別,,,"2,000,000","1,565,000",
,,,,,,,,
,1,,黃金級總額,,,"560,000","251,000",
,,,黃金級(牌價),"500,000",,,,
,,,有條件限制競業排他,"150,000",,,,要扣掉的已使用的線上權益之價值。
,,,企業LOGO露出 ( 隨主辦單位LOGO同步露出 ),"300,000",,,,要扣掉的已使用的線上權益之價值。
,,,臺灣同志遊行主視覺使用權,"200,000",,,,要扣掉的已使用的線上權益之價值。
,,,官方新聞稿適當置入2次,"160,000",,,,要扣掉的已使用的線上權益之價值。
,,,官方網站滾動式廣告欄位B,"50,000",,,,要扣掉的已使用的線上權益之價值。
,,,官方臉書粉絲頁軟文置入合作1次,"25,000",,,,要扣掉的已使用的線上權益之價值。
,,,官方IG粉絲頁軟文置入合作2次,"16,000",,,,要扣掉的已使用的線上權益之價值。
,,,退款(總額-要扣掉的已使用的線上權益之價值),"249,000",,,"251,000",
,,1,GILEAD,黃金,,"500,000","251,000",
,,,,空飄球,,"60,000",,
,2,,銀級,,,"1,440,000","1,314,000",
,,,銀級(牌價),"160,000",,,,
,,,企業LOGO露出 ( 隨主辦單位LOGO同步露出 ),"300,000",,,,要扣掉的已使用的線上權益之價值。
,,,臺灣同志遊行主視覺使用權,"200,000",,,,要扣掉的已使用的線上權益之價值。
,,,官方新聞稿適當置入1次,"80,000",,,,要扣掉的已使用的線上權益之價值。
,,,官方網站首頁廣告欄位 C 或 D,"25,000",,,,要扣掉的已使用的線上權益之價值。
,,,官方臉書粉絲頁軟文置入合作1次,"25,000",,,,要扣掉的已使用的線上權益之價值。
,,,官方IG粉絲頁軟文置入合作2次,"16,000",,,,要扣掉的已使用的線上權益之價值。
,,,退款(總額-要扣掉的已使用的線上權益之價值),"14,000",,,"146,000",
,,1,GSK,銀級1,,"160,000","146,000",
,,2,磊山,銀級2,,"160,000","146,000",
,,3,TINDER,銀級3,,"160,000","146,000",
,,4,Microsoft,銀級4,,"160,000","146,000",換主舞台廣告
,,5,GSTAR,銀級5,,"160,000","146,000",
,,6,台灣百健,銀級6,,"160,000","146,000",
,,7,Les Park,銀級7,,"160,000","146,000",
,,8,Foodpanda,銀級8,,"160,000","146,000",
,,9,Unilever,銀級9,,"160,000","146,000",
,,10,PINKOI,銀級10,,"160,000",,換15頂帳篷
,,11,GOOGLE,銀級11,,"150,000",,
3,,,廣告,,,"907,350","157,750",
,1,,澤豐,,,"102,000",,跟可可表錢不一樣
,,,主舞台兩側主廣告看板,"120,000","102,000",,,
,2,,英諾美,,,"70,000","49,250",
,,,官方網站次頁廣告欄位 D,"25,000","21,250",,,要扣掉的已使用的線上權益之價值。
,,,官方臉書粉絲頁滾動式橫幅,"20,000",,,,要扣掉的已使用的線上權益之價值。
,,,官方IG粉絲頁軟文置入合作,"8,000",,,,要扣掉的已使用的線上權益之價值。
,,,遊行現場活動資訊看板廣告欄位,"25,000","21,250",,,
,,,退款(總額-要扣掉的已使用的線上權益之價值),,"20,750",,,
,3,,辻利茶舖,,,"20,000",,
,,,當日活動DM廣告 A A6,"20,000",,,,待確認是否會退款
,4,,放駟科技,,,"20,000","20,000",
,,,官方臉書粉絲頁滾動式橫幅,"20,000",,,,
,5,,台虎,,,"80,000","28,000",
,,,臺灣同志遊行主視覺使用權,"200,000",,,,
,,,官方臉書粉絲頁滾動式橫幅,"20,000",,,,
,,,官方IG粉絲頁軟文置入合作,"8,000",,,,
,,,獨立棚,"10,000",,,,
,,,遊行現場活動資訊看板廣告欄位,"25,000","21,250",,,
,,,退款(總額-要扣掉的已使用的線上權益之價值),,"52,000",,,
,6,,大安金普頓,,,"18,000","18,000",
,,,官方網站友善飯店推薦欄位 A,"18,000",,,,
,7,,HotelCom,,,"30,000",,
,,,,,,,,待確認是否會退款
,8,,Tstudio,,,"32,850",,跟可可表錢不一樣
,,,實際總額(識別證帶),"71,250",,,,
,,,獨立棚3頂,"30,000",,,,
,,,遊行現場活動資訊看板廣告欄位,"25,000","21,250",,,
,,,當日活動DM廣告 A A6,"20,000",,,,待確認是否會退款
,,,退款(總額-要扣掉的已使用的線上權益之價值),,,,"50,000",
,9,,ANASIUM 艾納舒,,,"12,000",,跟可可表錢不一樣
,,,當日活動DM廣告 B A7,"12,000",,,,待確認是否會退款
,10,,hyve solutions,,,"60,000","42,500",
,,,官方網站滾動式廣告欄位B,"50,000","42,500",,,
,,,遊行現場活動資訊看板廣告欄位,"25,000","21,250",,,
,,,當日活動DM廣告 A A6,"20,000",,,,待確認是否會退款
,,,退款(總額-要扣掉的已使用的線上權益之價值),,"17,500",,,
,11,,紅樓,,,"12,000",,升級A6
,,,當日活動DM廣告 B A7,"12,000",,,,
,12,,EY,,,"40,500",,
,,,,,,,,待確認
,13,,JACK D,,,"40,000",,
,,,當日活動DM廣告 A A6,"20,000",,,,
,,,退款(總額-要扣掉的已使用的線上權益之價值),,,,,
,14,,18歲公民聯盟,,,"15,000",,
,,,,,,,,待確認
,15,,熱線藥廠,,,"40,000",,
,,,當日活動DM廣告 A A6,"20,000",,,,
,,,退款(總額-要扣掉的已使用的線上權益之價值),,,,,
,16,,友善飯店,,,"15,000",,
,,,,,,,,待確認
,17,,台北市政府收入,,,"300,000",,
4,,,市集,,,"549,500",0,
,1,,獨立,,,"300,000",,
,2,,合併,,,"155,000",,
,3,,NGO,,,"94,500",,