,價值,級別,比較數量,評估數量,實際數量,個別廠商業務統計,,,,,,,,,Ｖ,Ｖ,,,,,,,,,,Ｖ,,Ｖ,,,Ｖ,,,,,,,,,,,,,,,,,,,,,,
廠商屬性,,,,,,白金級,白金級,黃金級,黃金級,白銀級,白銀級,白銀級,白銀級,銀級,銀級,銀級,銀級,銀級,銀級,銀級,銀級,銀級,銀級,銀級,銀級,銀級,銀級,銀級,單買,單買,單買,單買,單買,單買,單買,單買,單買,單買,單買,單買,單買,單買,單買,單買,單買,單買,單買,其他,其他,其他,其他,其他,其他
品項,"P 1,000,000
G 700,000
X 300,000
S 150,000","白金 P
黃金 G
白銀 X
銀 S",可用數量,最大釋出,實際數量,Gilead,FiftyPercent,DIKE,Model TV,LesPark,lululemon,杜蕾斯,美光,AZ,Google,GSK,GSTAR,Pinkoi,UT麗舍,Yahoo,台北市觀傳局,百健,海峰電腦,高通,高誠公關,樂天,磊山保經,聯合利華,GAP,Lab Series,MAC,Nike,TaskUs,Uber,ZIMA,七彩翼國際,台北市民政局,永準貿易,同窗會,辻利茶舖,波士頓,相模,彩虹平權大平台,彩虹酷兒,麥肯錫,無心戒酒,澤豐,Part.T,TAIWANIZE,可口可樂,合橋國際,臺虎精釀,緹威國際
業務組長,,,,,,美克,美克,,美克,,,美克,,鄧霆,美克,,鄧霆,,,美克,,,,,,美克,,,,,,,,美克,,,,,,,,,,,,,,,,,,,
業務窗口,,,,,,Kira,Ray,Linus,樂樂,馬尾,Liwen,樂樂,Alonso,Ray,Taco,Alonso,Ray,Kira,馬尾,Taco,美克,Liwen,盛,Alonso,泩閎,Alonso,Ray,Kira,Ray,美克,Kira,泩閎,泩閎,Kira,Liwen,Alonso,美克,馬尾,Ray,Ray,Alonso,Linus,美克,盛,泩閎,美克,Linus,盛,美克,美克,美克,Ray,盛
競業排他條款  ,"330,000",P,0,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有條件競業排他條款  ,"180,000",G,1,3,2,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
起走儀式參與權,"80,000","P,G",1,5,4,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
主視覺使用權,"220,000","P,G,X",0,10,10,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
新聞稿適當置入乙次,"300,000","P,G,X,S",-7,25,32,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,1,,1
企業LOGO露出權,"330,000","P,G,X,S",-30,18,48,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
行前記者會之友善企業發言權,"110,000",P,0,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
行前記者會之會後媒體採訪權,"150,000",P,0,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
活動當日媒體受訪權,"200,000","P,G",1,5,4,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
活動當日舞台致詞權,"200,000",P,0,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
主舞台背板兩側之主廣告版位,"200,000",P,0,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轉播LED大螢幕之橫幅帆布廣告版位,"150,000","P,G",0,4,4,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轉播LED大螢幕之輪播廣告版位,"10,000","P,G,X",15,36,21,1,1,1,1,1,1,1,1,1,1,,,1,1,1,,,,1,,,,1,,1,,,1,,,1,,,,,,,,,,,1,,1,,1,,
現場活動資訊看板之廣告欄位,"30,000","P,G,X",-5,16,21,1,1,1,1,1,1,1,1,,,,,,,2,,1,1,1,,,,1,,1,,,,1,,,,1,,,1,,,,,,,,1,,,,2
活動DM之A6廣告欄位,"25,000",P,-2,6,8,1,1,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,,1,,,,,1
活動DM之A7廣告欄位,"15,000","G,X",4,16,12,,,1,1,1,1,1,1,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,
沿途小舞台之廣告欄位,"100,000",G,4,6,2,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
遊行花車-商業車首位擁有權,"150,000",,0,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
遊行花車-商業車擁有權,"100,000","P,G,X,S",1,22,21,,,1,1,1,1,1,,1,1,,1,,,,1,1,,,1,1,1,1,1,,,1,,1,,,,,1,,,,,1,1,1,,,,,,,
當日攤位-獨立棚,"15,000","P,G,X,S",7,50,43,3,5,3,3,1,,1,1,,1,1,1,6,,,3,,,1,,1,,1,,,1,2,,2,,,,,,,,1,,,,,,1,,,1,1,2
當日攤位-合併棚,"7,500",,50,60,10,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
企業品牌空間使用權,"150,000",P,0,6,6,1,1,,1,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,
官方網站滾動式廣告欄位 A,"80,000",P,1,3,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
官方網站滾動式廣告欄位 B ,"50,000","G,X",-1,8,9,,,1,1,1,1,1,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
官方網站滾動式廣告欄位 C,"25,000",S,-2,9,11,,,,,,,,,1,1,1,1,1,,1,1,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
官方網站次頁廣告欄位 D,"25,000","P,G,X,S",-1,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
官方FB軟文置入合作乙次,"30,000","P,G,X,S",-3,36,39,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,,,,,1,,1,,1,1,,,,1,,,,,,,,,1,2,
官方FB滾動式橫幅,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
官方IG軟文置入合作乙次,"10,000","P,G,X",-1,40,41,3,3,2,2,2,2,2,2,1,1,,,1,2,1,1,1,1,1,3,2,,1,,1,1,,1,,,,,,,,,,,,,,,,,,2,2,
官方FB、IG限時動態置入合作乙次,"2,000","P,G,X",60,100,40,5,5,3,3,1,1,1,1,,,,,,2,1,,1,,,5,2,,1,,1,1,,,,1,,,,,,,2,,,,,,,,,1,2,
線上轉播-輪播廣告各15秒 ,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
線上轉播外框-贊助商LOGO圖卡、固定Bar、跑馬燈,"80,000","P,G,X",0,10,10,1,1,1,1,1,1,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
企業CEO致詞影片 ,"150,000",P,0,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
跨界合作,"150,000",,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
置入新聞稿一則,"150,000","P,G",-4,,4,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FB活動貼文一篇,,"P,G",-4,,4,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FB\IG宣傳文宣置入Logo,,"P,G",-4,,4,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
開幕記者會出席與發言,,"P,G",-4,,4,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
展場DM線上版 置入Logo,,"P,G",-4,,4,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
入口主視覺置入logo（最優位置）,"200,000",P,-2,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
友善企業介紹立牌（A3尺寸放置於最大展間）,,"P,G",-4,,4,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
展場DM專區介紹（5000份）,,P,-2,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20週年紀念專刊 專區介紹（預計1000本),,P,-2,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
導覽專員介紹,,"P,G",-4,,4,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
彩虹地景場地使用權,"250,000",P,-2,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
友善企業介紹立牌（A4尺寸）,"80,000",,-2,,2,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
入口主視覺置入logo曝光,,G,-4,,4,,,1,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
展場DM logo曝光（5000份）,,G,-4,,4,,,1,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
展場DM線上版 logo曝光,,G,-4,,4,,,1,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
專題講座冠名權,,,0,2,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
展間贊助,"20,000",,0,2,2,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
估計金額,,,,,,,,,,,,,,"155,000","170,000","150,000","150,000","145,000","254,000","170,000","150,000",,"215,000","150,000","150,000",,"165,000","170,000","100,000",,"352,000","250,000",,"310,000",,"10,000",,"80,000",,"15,000","25,000","49,000",,"100,000","100,000","100,000","10,000",,,,"107,000","249,000","35,000"
實際金額,,,,,,"1,000,000","1,000,000","700,000","700,000","300,000","300,000","300,000","300,000","155,000",,,,,,,,,,,,,"150,000",,,,,,,,,,,,,,,,,,,,,,,,,,